id,parent_id,alias
1,0,Controllers
2,1,Users
3,2,index
4,2,add
5,2,edit
6,2,delete
7,2,change_password
8,1,Groups
9,8,index
10,8,add
11,8,edit
12,8,delete
13,1,MAgen
14,13,index
15,13,add
16,13,edit
17,13,delete
18,1,MBiaya
19,18,index
20,18,add
21,18,edit
22,18,delete
23,1,MCities
24,23,index
25,23,add
26,23,edit
27,23,delete
28,1,MKendaraan
29,28,index
30,28,add
31,28,edit
32,28,delete
33,1,MMuatan
34,33,index
35,33,add
36,33,edit
37,33,delete
38,1,MNumberings
39,38,index
40,38,add
41,38,edit
42,38,delete
43,1,MProvinces
44,43,index
45,43,add
46,43,edit
47,43,delete
48,1,MTypeKendaraan
49,48,index
50,48,add
51,48,edit
52,48,delete
53,1,BeliSparePart
54,53,index
55,53,add
56,53,delete
57,53,edit
58,53,delete_detail
59,53,view
60,53,approve
61,53,reject
62,53,create_po
63,53,po_list
64,53,print_po
65,53,create_lpb
66,53,bpb_list
67,53,print_bpb
68,1,BeliRongsok
69,68,index
70,68,add
71,68,edit
72,68,print_po
73,68,create_dtr
74,68,dtr_list
75,68,print_dtr
76,68,matching
77,68,proses_matching
78,68,approve
79,68,reject
80,68,edit_dtr
81,68,create_ttr
82,68,ttr_list
83,68,print_ttr
84,68,create_voucher_dp
85,68,create_voucher_pelunasan
86,1,PengirimanAmpas
87,86,index
88,86,add
89,86,edit
90,86,add_detail
91,86,delete_detail
92,86,print_po
93,86,create_dtr
94,86,dtr_list
95,86,print_dtr
96,86,surat_jalan
97,86,add_surat_jalan
98,86,edit_surat_jalan
99,86,add_detail_surat_jalan
100,86,edit_detail_surat_jalan
101,86,print_surat_jalan
102,1,Tolling
103,102,index
104,102,add
105,102,edit
106,102,add_detail
107,102,delete_detail
108,102,print_so
109,102,create_dtr
110,102,dtr_list
111,102,print_dtr
112,102,view_dtr
113,102,approve
114,102,reject
115,102,edit_dtr
116,102,create_ttr
117,102,ttr_list
118,102,print_ttr
119,102,produksi_ampas
120,102,add_produksi_ampas
121,102,edit_produksi_ampas
122,102,add_detail_produksi_ampas
123,102,delete_detail_produksi_ampas
124,102,surat_jalan
125,102,add_surat_jalan
126,102,edit_surat_jalan
127,102,add_detail_surat_jalan
128,102,delete_detail_surat_jalan
129,102,print_surat_jalan
130,1,IngotRendah
131,130,index
132,130,add
133,130,edit
134,130,add_detail
135,130,delete_detail
136,130,print_po
137,130,create_dtr
138,130,dtr_list
139,130,print_dtr
140,130,create_ttr
141,130,ttr_list
142,130,print_ttr
143,130,create_voucher_piutang
144,1,RollingKawatHitam
145,144,index
146,144,add
147,144,edit
148,144,add_detail
149,144,delete_detail
150,144,print_spb
151,144,create_skb
152,144,skb_list
153,144,print_skb
154,144,hasil_produksi
155,144,add_produksi
156,144,edit_produksi
157,144,add_detail_produksi
158,144,delete_detail_produksi
159,1,CuciKawatHitam
160,159,index
161,159,add
162,159,edit
163,159,add_detail
164,159,delete_detail
165,159,print_spb
166,159,create_skb
167,159,skb_list
168,159,print_skb
169,159,create_dtr
170,159,dtr_list
171,159,print_dtr
172,159,create_ttr
173,159,ttr_list
174,159,print_ttr
175,1,PengirimanSample
176,175,index
177,175,add
178,175,edit
179,175,add_detail
180,175,delete_detail
181,175,print_rs
182,175,create_skb
183,175,skb_list
184,175,print_skb
185,175,surat_jalan
186,175,add_surat_jalan
187,175,edit_surat_jalan
188,175,add_detail_surat_jalan
189,175,delete_detail_surat_jalan
190,175,print_surat_jalan
191,53,create_voucher
192,1,Ingot
193,192,index
194,192,add
195,192,edit
196,192,add_detail
197,192,delete_detail
198,192,create_spb
199,192,spb_list
200,192,view_spb
201,192,approve_spb
202,192,reject_spb
203,192,edit_spb
204,192,print_spb
205,192,create_skb
206,192,skb_list
207,192,print_skb
208,192,hasil_produksi
209,192,add_produksi
210,192,edit_produksi
211,192,add_detail_produksi
212,192,edit_detail_produksi
213,144,view_spb
214,144,approve_spb
215,144,reject_spb
216,159,view_spb
217,159,approve_spb
218,159,reject_spb
219,1,Retur
220,219,index
221,219,add
222,219,edit
223,219,delete
224,219,load_detail
225,219,add_detail
226,219,delete_detail
227,219,print_dtr
228,219,create_ttr
229,219,ttr_list
230,219,print_ttr
231,219,create_request_barang
232,219,edit_request_barang
233,219,load_detail_request_barang
234,219,add_detail_request_barang
235,219,delete_detail_request_barang
236,219,request_barang_list
237,219,view
238,219,approve
239,219,reject
240,68,close_po
241,68,voucher_list
242,53,view_po
243,53,close_po
244,53,voucher_list
245,68,review_ttr
246,68,approve_ttr
247,68,reject_ttr
