id,parent_id,alias
1,0,Controllers
2,1,Users
3,2,index
4,2,add
5,2,edit
6,2,delete
7,2,change_password
8,1,Groups
9,8,index
10,8,add
11,8,edit
12,8,delete
13,1,MAgen
14,13,index
15,13,add
16,13,edit
17,13,delete
18,1,MBiaya
19,18,index
20,18,add
21,18,edit
22,18,delete
23,1,MCities
24,23,index
25,23,add
26,23,edit
27,23,delete
28,1,MKendaraan
29,28,index
30,28,add
31,28,edit
32,28,delete
33,1,MMuatan
34,33,index
35,33,add
36,33,edit
37,33,delete
38,1,MNumberings
39,38,index
40,38,add
41,38,edit
42,38,delete
43,1,MProvinces
44,43,index
45,43,add
46,43,edit
47,43,delete
48,1,MTypeKendaraan
49,48,index
50,48,add
51,48,edit
52,48,delete
53,1,BeliSparePart
54,53,index
55,53,add
56,53,delete
57,53,edit
58,53,delete_detail
59,53,view
60,53,approve
61,53,reject
62,53,create_po
63,53,po_list
64,53,print_po
65,53,create_lpb
66,53,bpb_list
67,53,print_bpb
68,53,create_voucher
69,53,view_po
70,53,close_po
71,53,voucher_list
72,1,BeliRongsok
73,72,index
74,72,add
75,72,edit
76,72,print_po
77,72,create_dtr
78,72,dtr_list
79,72,print_dtr
80,72,matching
81,72,proses_matching
82,72,approve
83,72,reject
84,72,edit_dtr
85,72,create_ttr
86,72,ttr_list
87,72,print_ttr
88,72,create_voucher_dp
89,72,create_voucher_pelunasan
90,72,close_po
91,72,voucher_list
92,72,review_ttr
93,72,approve_ttr
94,72,reject_ttr
95,1,PengirimanAmpas
96,95,index
97,95,add
98,95,edit
99,95,add_detail
100,95,delete_detail
101,95,print_po
102,95,create_dtr
103,95,dtr_list
104,95,print_dtr
105,95,surat_jalan
106,95,add_surat_jalan
107,95,edit_surat_jalan
108,95,add_detail_surat_jalan
109,95,edit_detail_surat_jalan
110,95,print_surat_jalan
111,1,Tolling
112,111,index
113,111,add
114,111,edit
115,111,add_detail
116,111,delete_detail
117,111,print_so
118,111,create_dtr
119,111,dtr_list
120,111,print_dtr
121,111,view_dtr
122,111,approve
123,111,reject
124,111,edit_dtr
125,111,create_ttr
126,111,ttr_list
127,111,print_ttr
128,111,produksi_ampas
129,111,add_produksi_ampas
130,111,edit_produksi_ampas
131,111,add_detail_produksi_ampas
132,111,delete_detail_produksi_ampas
133,111,surat_jalan
134,111,add_surat_jalan
135,111,edit_surat_jalan
136,111,add_detail_surat_jalan
137,111,delete_detail_surat_jalan
138,111,print_surat_jalan
139,1,IngotRendah
140,139,index
141,139,add
142,139,edit
143,139,add_detail
144,139,delete_detail
145,139,print_po
146,139,create_dtr
147,139,dtr_list
148,139,print_dtr
149,139,create_ttr
150,139,ttr_list
151,139,print_ttr
152,139,create_voucher_piutang
153,1,RollingKawatHitam
154,153,index
155,153,add
156,153,edit
157,153,add_detail
158,153,delete_detail
159,153,print_spb
160,153,create_skb
161,153,skb_list
162,153,print_skb
163,153,hasil_produksi
164,153,add_produksi
165,153,edit_produksi
166,153,add_detail_produksi
167,153,delete_detail_produksi
168,153,view_spb
169,153,approve_spb
170,153,reject_spb
171,1,CuciKawatHitam
172,168,index
173,168,add
174,168,edit
175,168,add_detail
176,168,delete_detail
177,168,print_spb
178,168,create_skb
179,168,skb_list
180,168,print_skb
181,168,create_dtr
182,168,dtr_list
183,168,print_dtr
184,168,create_ttr
185,168,ttr_list
186,168,print_ttr
187,168,view_spb
188,168,approve_spb
189,168,reject_spb
190,1,PengirimanSample
191,184,index
192,184,add
193,184,edit
194,184,add_detail
195,184,delete_detail
196,184,print_rs
197,184,create_skb
198,184,skb_list
199,184,print_skb
200,184,surat_jalan
201,184,add_surat_jalan
202,184,edit_surat_jalan
203,184,add_detail_surat_jalan
204,184,delete_detail_surat_jalan
205,184,print_surat_jalan
206,1,Ingot
207,200,index
208,200,add
209,200,edit
210,200,add_detail
211,200,delete_detail
212,200,create_spb
213,200,spb_list
214,200,view_spb
215,200,approve_spb
216,200,reject_spb
217,200,edit_spb
218,200,print_spb
219,200,create_skb
220,200,skb_list
221,200,print_skb
222,200,hasil_produksi
223,200,add_produksi
224,200,edit_produksi
225,200,add_detail_produksi
226,200,edit_detail_produksi
227,1,retur
228,227,index
229,227,add
230,227,edit
231,227,delete
232,227,load_detail
233,227,add_detail
234,227,delete_detail
235,227,print_dtr
236,227,create_ttr
237,227,ttr_list
238,227,print_ttr
239,227,create_request_barang
240,227,edit_request_barang
241,227,load_detail_request_barang
242,227,add_detail_request_barang
243,227,delete_detail_request_barang
244,227,request_barang_list
245,227,view
246,227,approve
247,227,reject
